,roles,companies,locations,experience,skills
169,Python Data Scientist,Wizaltia Hr Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,Computer scienceAnalytical skillsData analysisUsageArtificial IntelligenceProgrammingManager TechnologyData analytics
170,Data Scientist,Aurigo Software Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-8 Yrs,deep learningProduct engineeringSQL databaseMachine learningCloudNatural language processingData miningAWS
171,Principal Data Scientist,Blink Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,Supply chainAutomationFinancial reportingPharmaHealthcarePredictive modelingBusiness intelligenceDigital marketing
172,Data Scientist,Rapid Canvas,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-9 Yrs,Computer scienceOperations researchdata scienceGCPMachine learningSAGEData miningAWS
173,Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-9 Yrs,Computer visiondeep learningdata scienceFocusMachine learningProgrammingNatural language processingPython
174,Data Scientist,Scienaptic Systems,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,Business processLoansBusiness analyticsAnalyticalFinanceCredit underwritingCredit risk managementSQL
175,Data Scientist,Business Toys,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,Data Scientist
176,Principal Data Scientist,Business Toys,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,Principal
177,Data Scientist,Business Toys,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Data Scientist
178,NLP Data Scientist - Real World Data (RWD),Business Toys,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,NLP Data Scientist - Real World Data (RWD)Natural language processingDataRwd
179,Data Scientist,Digital Glyde,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Data analysisOperations researchSocial scienceAnalyticalReport writingMySQLCloudDatabase
180,Data Scientist,Intersoft Kk,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Computer visionGCPArtificial IntelligenceMySQLMachine learningPHPData structuresSQL
181,Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-7 Yrs,TrainingData analysisdata scienceMachine learningInfrastructureProgrammingmodel developmentDeployment
182,Lead Data Scientist,Elitefit.ai,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,PilotPrototypeSimulationdata scienceMachine learningMentorManagementOperations
183,Principal Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",12-15 Yrs,data sciencePharmaMachine learningHealthcaremicrosoftbig dataAnalyticsPython
184,Lead Data Scientist,Response Informatics,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-8 Yrs,Data analysisPrototypedata scienceAnalyticalMachine learningSCALAHypothesis TestingDeployment
185,Data Scientist,Kashsam Data Solutions,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Data analysisCodingProcess improvementdata governanceManagementProcessImprovementAnalysis
186,Data Scientist,WSD Consultant,"Mumbai, Hyderabad, Pune, Chennai, Gurugram, Bengaluru",1-5 Yrs,E-learningdata scienceApplication programmingArtificial IntelligenceMachine learningManager TechnologyDoctorManagement
187,Lead Data Scientist,Cornerstone,"Mumbai, Hyderabad, Pune",6-9 Yrs,Artificial IntelligenceNatural Language ProcessingMachine LearningProcessingIntelligenceLanguagesProcessMachine
188,Sr . Data Scientist,Enlink,"Mumbai, Navi Mumbai, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Computer scienceFront endData modelingMISJavascriptData structuresHTMLUnit testing
189,Lead Data Scientist,Business Toys,"Mumbai, Hyderabad, Pune",6-9 Yrs,Lead Data Scientist
190,IT Services & Consulting | Data Scientist,Business Toys,"Noida, Kolkata, Mumbai, Hyderabad, Pune, Chennai",6-11 Yrs,IT servicesConsultingData
191,Data Scientist,The It Mind Services,"Kolkata, Mumbai, Hyderabad, New Delhi, Pune, Chennai, Bengaluru",4-12 Yrs,Machine learningData collectiondata visualizationCollectionsMachineData
192,Senior Data Scientist,Prismforce,"Kolkata, Mumbai, Pune, Bengaluru",5-9 Yrs,Product managementIT servicesSupply chainERPAutomationAnalyticalMachine learningForecasting
193,Data Scientist NLP/GenAI,Business Toys,"Mumbai, Pune",4-9 Yrs,Hexaware_ Looking Immediate joiners -Data Scientist NLP/GenAI_PanIndiaNatural language processingData
194,Senior Data Scientist,Springer Nature,Hybrid - Pune,6-9 Yrs,Artificial IntelligenceMachine LearningNatural Language ProcessingDeep LearningProcessingDataIntelligenceLanguages
195,AI/ML Engineer,InfoCepts,"Hybrid - Nagpur, Pune, Chennai",5-9 Yrs,Machine LearningData SciencePythonDataScienceArtificial IntelligenceMachineMl
196,"Senior Associate, Data Scientist",BNY Mellon,Pune,2-3 Yrs,data scienceBankingProgrammingManager TechnologyManagementAnalyticsFinancial servicesScience
197,Gen AI -Data Scientist,Xoriant,Hybrid - Pune,5-9 Yrs,Open AIGenerative AINatural Language ProcessingLLMPythonProcessingDataLanguages
198,Lead Data Scientist,Birlasoft,Hybrid - Pune,8-10 Yrs,Data ScienceNatural Language ProcessingMachine LearningDeep LearningComputer VisionAzure Machine LearningPythonScience
199,"Associate, Data Scientist II",BNY Mellon,Pune,3-5 Yrs,Unixspring bootBloombergCodingsparkDiversity and InclusionShell scriptingSCALA
